name_contains_bot,screen_name_contains_bot,name_screen_levenshtein,followers_count,following_count,favorites_count,tweets_count,verified,location,description_contains_link,description_contains_bot,tweets_contains_link_count,tweets_contains_bot_count,retweet_count,tweet_levenstein1,tweet_levenstein2,tweet_levenstein3,tweet_levenstein4,is_bot
FALSE,FALSE,9,1700,4,4,13020,FALSE,,FALSE,FALSE,5,0,0,42,45,40,27,TRUE
FALSE,FALSE,6,824,851,516,251,FALSE,United States,FALSE,TRUE,4,0,1,102,93,99,113,FALSE
FALSE,FALSE,9,194,803,4089,1196,FALSE,,FALSE,FALSE,3,0,0,53,54,43,57,FALSE
FALSE,FALSE,13,564,657,9991,1627,FALSE,"Birmingham, AL",FALSE,FALSE,1,0,5,110,110,109,110,FALSE
FALSE,FALSE,1,748423,118,149,4290,TRUE,"England, United Kingdom",FALSE,FALSE,0,0,2,132,131,129,120,FALSE
FALSE,FALSE,5,289157,1595,5558,14659,TRUE,Los Angeles,TRUE,FALSE,2,0,1,51,47,91,80,FALSE
FALSE,FALSE,13,7129317,38,779,1258,TRUE,,FALSE,FALSE,3,0,0,55,56,116,124,FALSE
FALSE,FALSE,4,2080,3343,37892,64358,FALSE,United Kingdom,FALSE,FALSE,2,0,1,31,58,107,99,FALSE
FALSE,FALSE,1,29479,28,0,25333,FALSE,,TRUE,TRUE,0,1,0,39,52,40,41,TRUE
FALSE,FALSE,1,259237,681,26882,42732,TRUE,"London, New York, Paris, Milan",FALSE,FALSE,1,0,4,114,115,110,114,FALSE
FALSE,FALSE,3,1894354,2171,56794,83875,TRUE,"Nashville, TN",FALSE,FALSE,2,0,2,26,81,21,67,FALSE
FALSE,FALSE,3,252493,585,4326,6205,TRUE,Italy,FALSE,FALSE,3,0,2,101,120,102,117,FALSE
FALSE,FALSE,11,5210,581,85551,110458,FALSE,,FALSE,FALSE,1,0,0,91,88,47,39,FALSE
FALSE,FALSE,8,36676,372,528,9151,TRUE,└A,FALSE,FALSE,5,0,0,97,106,106,105,FALSE
FALSE,FALSE,14,7934240,3057,41405,22351,TRUE,,FALSE,FALSE,4,0,1,68,61,75,76,FALSE
FALSE,FALSE,1,15866,1163,5374,13322,TRUE,"Washington, DC",FALSE,FALSE,2,0,1,3,117,112,117,FALSE
FALSE,FALSE,5,170534,116,1388,80787,TRUE,Malaysia,FALSE,FALSE,3,0,4,25,122,126,83,FALSE
FALSE,FALSE,12,578,948,31052,9246,FALSE,USA,FALSE,TRUE,4,1,1,109,114,37,113,FALSE
FALSE,FALSE,10,5772,4,464,4974,FALSE,The Internet,TRUE,FALSE,5,0,0,27,29,31,42,TRUE
